醫事機構代碼,醫事機構名稱,醫事機構種類,電話,地址,分區業務組,特約類別,服務項目,診療科別,終止合約或歇業日期,固定看診時段,備註,縣市別代碼,合約起日
0807350018,高雄市立中醫醫院,中醫醫院,(07)7133186,高雄市苓雅區凱旋二路１３２號,高屏業務組,4,門診診療,中醫一般科,20261018,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上休診、星期六晚上休診、星期日晚上休診,颱風\豪雨期間只要高雄市政府公告停止上班，本院即停止門診服務，請民眾留意高雄市政府公告颱風\豪雨上班訊息。,64000,20201019
1135130014,佛教慈濟醫療財團法人三義慈濟中醫醫院,中醫醫院,(037)37558666,苗栗縣三義鄉廣盛村１６鄰八股路２４之９號,北區業務組,4,"復健－物理治療業務,門診診療","內科,眼科,復健科,中醫一般科",20281209,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10005,20221210
1502050152,南山醫院,醫院,(07)2882101,高雄市三民區建東里建國三路１５１號,高屏業務組,4,,,20240115,,,64000,19950301
1531060073,新莊英仁醫院,醫院,(02)29916363,新北市新莊區大觀街４６－２號,臺北業務組,4,門診診療,"不分科,內科,外科,婦產科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,65000,19950301
1531080226,名恩療養院,精神科醫院,(02)26701092,新北市鶯歌區鶯桃路２段６２號及６４號１至４樓,臺北業務組,4,,,20250125,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午休診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,20151106
1532021310,仁祥醫院,醫院,(03)4223171,桃園市中壢區中美路13.15.17號1-6樓,北區業務組,4,"門診診療,血液透析","內科,婦產科",20270913,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,68000,20090914
1537071089,建元醫院,醫院,(04)8743747,彰化縣田中鎮中路里中南路三段５１２號１－５樓,中區業務組,4,,,20220929,,,10007,20160719
1537071098,建元醫院,醫院,(04)8743747,彰化縣田中鎮中路里中南路三段５１２號,中區業務組,4,"復健－物理治療業務,門診診療","內科,神經科",20280928,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,10007,20220929
1821040010,美德中醫醫院,中醫醫院,(06)2517956,臺南市北區正覺里公園路６６１號,南區業務組,4,門診診療,中醫一般科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午休診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,10021,19950301
1836010097,大同中醫醫院,中醫醫院,(04)25274601,臺中市豐原區下街里仁愛街１１號,中區業務組,4,,,20221201,,,66000,19961101
1836011110,天心中醫醫院,中醫醫院,(04)25275666,臺中市豐原區田心里中山路２０６號,中區業務組,4,門診診療,中醫一般科,20271210,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,66000,20001211
2101010013,臺北市立聯合醫院附設松山門診部,一般診所（醫務室）,(02)27653147,臺北市松山區八德路４段６９４號１樓,臺北業務組,4,門診診療,不分科,20281112,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,19971113
2101020019,臺北市立聯合醫院附設大安門診部,一般診所（醫務室）,(02)27390997,臺北市大安區辛亥路３段１５號,臺北業務組,4,門診診療,兒科,20281123,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,19971124
